Prompt,Prompt_Type,Prompt_Length,HCI_Application
What is blockchain,Interrogative,18,Educational Bot
Share a riddle with me,Declarative,22,Chatbot Interface
Tell me more,Declarative,12,Chatbot Interface
What about math,Interrogative,15,Location Services UI
Could you Find the result of 90 over 23,Declarative,39,Voice Calculator
Translate nice to meet you to Korean,Imperative,36,Real-Time Translation UI
Find the result of 32 times 34,Imperative,30,Voice Calculator
History of ancient Egypt,Conversational,24,Knowledge Assistant
History of space exploration,Conversational,28,Knowledge Assistant
Teach me DNA,Declarative,12,Educational Bot
What happened in the Moon landing,Interrogative,33,Knowledge Assistant
Convert nice to meet you from English to Japanese,Declarative,49,Real-Time Translation UI
Solve 47 plus 33,Imperative,16,Voice Calculator
Solve 50 plus 1,Imperative,15,Voice Calculator
Can you help me,Declarative,15,Conversational UI
Please Generate code in Python to handle errors,Declarative,47,Code Generator
How far is a nearest hospital,Interrogative,29,Location Services UI
Can you help me,Declarative,15,Conversational UI
I need to understand democracy,Declarative,30,Educational Bot
Directions to Paris,Declarative,19,Location Services UI
Calculate 65 squared,Imperative,20,Voice Calculator
Goodbye,Declarative,7,Conversational UI
Where is the train station,Interrogative,26,Location Services UI
Find the result of 11 multiplied by 16,Imperative,38,Voice Calculator
Create a chart showing user growth,Declarative,34,Graph Generation
Calculate 97 add 2,Imperative,18,Voice Calculator
Could you Fix this code: fetch(url).then(res => res.json,Declarative,56,Code Rectification
Convert hello from English to Chinese,Declarative,37,Real-Time Translation UI
Visualize sales data as bar,Declarative,27,Graph Generation
What's the French word for maybe,Interrogative,32,Real-Time Translation UI
Teach me AI,Declarative,11,Educational Bot
Convert sorry from English to Chinese,Declarative,37,Real-Time Translation UI
Graph user growth,Declarative,17,Graph Generation
Plot a graph for population growth,Declarative,34,Graph Generation
What is AI thanks,Interrogative,17,Educational Bot
Tell me a fun fact,Declarative,18,Chatbot Interface
Create a HTML script that sort a list,Declarative,37,Code Generator
Debug the following: button { color red; },Declarative,42,Code Rectification
Plot a graph for temperature changes,Declarative,36,Graph Generation
Information on math,Declarative,19,Knowledge Assistant
How to handle errors in HTML,Interrogative,28,Code Generator
Correct this HTML code: if x = 10: print('hi'),Declarative,46,Code Rectification
Can you translate I love you into Portuguese,Declarative,44,Real-Time Translation UI
Translate goodbye to Russian,Imperative,28,Real-Time Translation UI
72 to the power of 14 equals what,Declarative,33,Voice Calculator
Write JavaScript code for sort a list,Declarative,37,Code Generator
Code example for style a button in Python,Declarative,41,Code Generator
Create a chart showing user growth,Declarative,34,Graph Generation
What is your name,Interrogative,17,Conversational UI
I need suggestions for a game,Declarative,29,Chatbot Interface
Visualize population growth as scatter,Declarative,38,Graph Generation
Graph stock prices,Declarative,18,Graph Generation
Who invented the airplane,Interrogative,25,Knowledge Assistant
Give me advice on education,Declarative,27,Chatbot Interface
Navigate to Tokyo,Declarative,17,Location Services UI
Can you help me,Declarative,15,Conversational UI
What is the capital of India,Interrogative,28,Location Services UI
Convert goodbye from English to Italian,Declarative,39,Real-Time Translation UI
Could you Teach me enzymes,Declarative,26,Educational Bot
Show me information about geography,Imperative,35,Chatbot Interface
History of ancient Egypt?,Conversational,25,Knowledge Assistant
Fix this code: if x = 10: print('hi'),Declarative,37,Code Rectification
There's an error in fetch(url).then(res => res.json,Declarative,51,Code Rectification
Generate code in CSS to animate an element,Declarative,42,Code Generator
Can you translate where is a bathroom into Portuguese,Declarative,53,Real-Time Translation UI
